date,SPY_open,SPY_high,SPY_low,SPY_close,SPY_volume,pred_label
2025-12-01 20:02:00+00:00,680.15,680.15,680.08,680.08,229.0,2
2025-12-01 20:03:00+00:00,680.16,680.32,680.13,680.32,1309.0,2
2025-12-01 20:04:00+00:00,680.31,680.5,680.31,680.36,1934.0,2
2025-12-01 20:05:00+00:00,680.4,680.615,680.365,680.365,1818.0,2
2025-12-01 20:06:00+00:00,680.38,680.505,680.32,680.325,2565.0,2
2025-12-01 20:07:00+00:00,680.33,680.44,680.25,680.435,1145.0,2
2025-12-01 20:08:00+00:00,680.435,680.545,680.435,680.505,1073.0,2
2025-12-01 20:09:00+00:00,680.515,680.545,680.45,680.495,1245.0,2
2025-12-01 20:10:00+00:00,680.57,680.83,680.565,680.83,946.0,2
2025-12-01 20:11:00+00:00,680.81,680.9,680.8,680.865,1484.0,2
2025-12-01 20:12:00+00:00,680.88,681.015,680.88,680.94,733.0,2
2025-12-01 20:13:00+00:00,680.815,680.88,680.78,680.83,720.0,2
2025-12-01 20:14:00+00:00,680.81,680.925,680.81,680.915,885.0,2
2025-12-01 20:15:00+00:00,680.85,680.91,680.72,680.87,477.0,2
2025-12-01 20:16:00+00:00,680.88,680.95,680.83,680.95,1201.0,2
2025-12-01 20:17:00+00:00,680.8,680.8,680.54,680.54,1069.0,2
2025-12-01 20:18:00+00:00,680.5,680.555,680.41,680.41,1913.0,2
2025-12-01 20:19:00+00:00,680.395,680.53,680.32,680.505,2201.0,2
2025-12-01 20:20:00+00:00,680.48,680.65,680.42,680.64,1401.0,2
2025-12-01 20:21:00+00:00,680.66,680.66,680.52,680.55,1210.0,2
2025-12-01 20:22:00+00:00,680.6,680.61,680.44,680.44,1460.0,2
2025-12-01 20:23:00+00:00,680.4,680.55,680.4,680.47,1028.0,2
2025-12-01 20:24:00+00:00,680.59,680.59,680.48,680.48,1120.0,2
2025-12-01 20:25:00+00:00,680.46,680.53,680.43,680.53,1378.0,2
2025-12-01 20:26:00+00:00,680.48,680.72,680.48,680.63,591.0,2
2025-12-01 20:27:00+00:00,680.64,680.64,680.52,680.52,439.0,2
2025-12-01 20:28:00+00:00,680.51,680.51,680.45,680.49,1038.0,2
2025-12-01 20:29:00+00:00,680.66,680.74,680.625,680.71,1066.0,2
2025-12-01 20:30:00+00:00,680.755,680.86,680.62,680.63,2032.0,2
2025-12-01 20:31:00+00:00,680.6,680.61,680.41,680.41,1914.0,2
2025-12-01 20:32:00+00:00,680.365,680.465,680.34,680.39,2034.0,2
2025-12-01 20:33:00+00:00,680.37,680.47,680.33,680.36,2045.0,2
2025-12-01 20:34:00+00:00,680.37,680.515,680.295,680.515,12664.0,2
2025-12-01 20:35:00+00:00,680.64,680.64,680.53,680.58,827.0,2
2025-12-01 20:36:00+00:00,680.64,680.78,680.595,680.78,1954.0,2
2025-12-01 20:37:00+00:00,680.8,680.8,680.7,680.72,2104.0,2
2025-12-01 20:38:00+00:00,680.74,680.88,680.74,680.87,927.0,2
2025-12-01 20:39:00+00:00,680.91,680.98,680.89,680.98,2589.0,2
2025-12-01 20:40:00+00:00,680.96,680.96,680.72,680.72,601.0,2
2025-12-01 20:41:00+00:00,680.715,680.82,680.63,680.71,1600.0,2
2025-12-01 20:42:00+00:00,680.735,680.89,680.735,680.885,1847.0,2
2025-12-01 20:43:00+00:00,680.89,680.98,680.89,680.98,1787.0,2
2025-12-01 20:44:00+00:00,680.96,681.05,680.96,680.975,1873.0,2
2025-12-01 20:45:00+00:00,680.985,681.05,680.72,680.72,4054.0,2
2025-12-01 20:46:00+00:00,680.72,680.73,680.415,680.425,3287.0,2
2025-12-01 20:47:00+00:00,680.4,680.58,680.4,680.54,4531.0,2
2025-12-01 20:48:00+00:00,680.64,680.645,680.51,680.51,1827.0,2
2025-12-01 20:49:00+00:00,680.52,680.59,680.435,680.5,4123.0,2
2025-12-01 20:50:00+00:00,680.67,680.815,680.53,680.535,4051.0,2
2025-12-01 20:51:00+00:00,680.555,680.63,680.25,680.31,2934.0,2
2025-12-01 20:52:00+00:00,680.33,680.37,680.08,680.085,7275.0,2
2025-12-01 20:53:00+00:00,680.12,680.27,680.06,680.08,6031.0,2
2025-12-01 20:54:00+00:00,680.08,680.25,679.9,679.96,11852.0,2
2025-12-01 20:55:00+00:00,679.93,679.95,679.565,679.83,10424.0,2
2025-12-01 20:56:00+00:00,679.71,679.71,679.46,679.5,13036.0,2
2025-12-01 20:57:00+00:00,679.53,679.61,679.375,679.54,17256.0,2
2025-12-01 20:58:00+00:00,679.54,679.665,679.39,679.6,42631.0,2
2025-12-01 20:59:00+00:00,679.61,680.42,679.48,680.255,212282.0,2
2025-12-01 21:00:00+00:00,680.06,680.25,680.06,680.25,3171.0,2
2025-12-01 21:01:00+00:00,680.25,680.25,680.25,680.25,500.0,2
