date,SPY_open,SPY_high,SPY_low,SPY_close,SPY_volume,pred_label
2025-11-14 20:02:00+00:00,674.87,675.11,674.795,675.11,2916.0,2
2025-11-14 20:03:00+00:00,674.99,675.01,674.74,674.815,9566.0,2
2025-11-14 20:04:00+00:00,674.775,674.935,674.68,674.84,2222.0,2
2025-11-14 20:05:00+00:00,674.8,674.82,674.575,674.71,6822.0,2
2025-11-14 20:06:00+00:00,674.745,674.745,674.34,674.4,3928.0,2
2025-11-14 20:07:00+00:00,674.37,674.49,674.08,674.08,7056.0,2
2025-11-14 20:08:00+00:00,674.06,674.11,673.93,673.96,3241.0,2
2025-11-14 20:09:00+00:00,673.94,674.04,673.78,673.97,4162.0,2
2025-11-14 20:10:00+00:00,673.97,674.38,673.935,674.235,4760.0,2
2025-11-14 20:11:00+00:00,674.18,674.21,673.8,673.8,1563.0,2
2025-11-14 20:12:00+00:00,673.795,674.02,673.62,673.96,2065.0,2
2025-11-14 20:13:00+00:00,673.89,673.89,673.635,673.76,2029.0,2
2025-11-14 20:14:00+00:00,673.7,673.77,673.61,673.7,1524.0,2
2025-11-14 20:15:00+00:00,673.71,673.84,673.46,673.46,3327.0,2
2025-11-14 20:16:00+00:00,673.49,673.68,673.4,673.68,2545.0,2
2025-11-14 20:17:00+00:00,673.69,673.69,673.43,673.51,358.0,2
2025-11-14 20:18:00+00:00,673.46,673.46,672.89,672.93,2334.0,2
2025-11-14 20:19:00+00:00,673.075,673.115,672.97,673.0,2464.0,2
2025-11-14 20:20:00+00:00,673.05,673.1,672.92,673.03,5414.0,2
2025-11-14 20:21:00+00:00,673.08,673.09,672.47,672.49,3916.0,2
2025-11-14 20:22:00+00:00,672.51,672.51,672.27,672.39,3024.0,2
2025-11-14 20:23:00+00:00,672.37,672.76,672.22,672.585,7499.0,2
2025-11-14 20:24:00+00:00,672.575,672.76,672.48,672.665,4999.0,2
2025-11-14 20:25:00+00:00,672.58,672.77,672.415,672.75,3431.0,2
2025-11-14 20:26:00+00:00,672.7,672.915,672.57,672.71,5284.0,2
2025-11-14 20:27:00+00:00,672.62,672.66,672.34,672.47,1483.0,2
2025-11-14 20:28:00+00:00,672.63,672.71,672.58,672.62,2448.0,2
2025-11-14 20:29:00+00:00,672.59,672.765,672.5,672.64,2443.0,2
2025-11-14 20:30:00+00:00,672.46,672.46,672.27,672.44,3542.0,2
2025-11-14 20:31:00+00:00,672.43,672.5,672.31,672.43,5044.0,2
2025-11-14 20:32:00+00:00,672.41,672.77,672.36,672.77,2338.0,2
2025-11-14 20:33:00+00:00,672.88,672.99,672.61,672.98,3358.0,2
2025-11-14 20:34:00+00:00,672.97,672.97,672.74,672.79,2269.0,2
2025-11-14 20:35:00+00:00,672.82,673.11,672.81,672.95,4459.0,2
2025-11-14 20:36:00+00:00,673.01,673.01,672.8,672.8,1999.0,2
2025-11-14 20:37:00+00:00,672.69,672.69,672.38,672.53,7528.0,2
2025-11-14 20:38:00+00:00,672.505,672.69,672.37,672.38,4651.0,2
2025-11-14 20:39:00+00:00,672.38,672.64,672.365,672.59,6900.0,2
2025-11-14 20:40:00+00:00,672.57,672.58,672.06,672.11,5113.0,2
2025-11-14 20:41:00+00:00,672.11,672.31,671.955,671.96,10423.0,2
2025-11-14 20:42:00+00:00,671.96,672.21,671.925,672.16,7536.0,2
2025-11-14 20:43:00+00:00,672.15,672.25,671.975,672.17,6628.0,2
2025-11-14 20:44:00+00:00,672.14,672.23,672.03,672.07,4965.0,2
2025-11-14 20:45:00+00:00,672.03,672.48,671.98,672.35,7191.0,2
2025-11-14 20:46:00+00:00,672.4,672.4,672.18,672.21,3423.0,2
2025-11-14 20:47:00+00:00,672.24,672.29,671.86,671.86,5330.0,2
2025-11-14 20:48:00+00:00,671.94,672.09,671.59,671.59,4475.0,2
2025-11-14 20:49:00+00:00,671.59,671.59,671.21,671.21,9455.0,2
2025-11-14 20:50:00+00:00,671.25,671.94,671.25,671.83,12952.0,2
2025-11-14 20:51:00+00:00,671.84,672.12,671.63,672.01,10409.0,2
2025-11-14 20:52:00+00:00,671.965,671.965,671.595,671.65,5014.0,2
2025-11-14 20:53:00+00:00,671.575,672.085,671.55,672.06,4285.0,2
2025-11-14 20:54:00+00:00,672.06,672.13,671.66,671.67,10635.0,2
2025-11-14 20:55:00+00:00,671.7,671.935,671.57,671.8,14301.0,2
2025-11-14 20:56:00+00:00,671.76,671.79,671.505,671.505,11130.0,2
2025-11-14 20:57:00+00:00,671.54,671.55,671.335,671.405,13863.0,2
2025-11-14 20:58:00+00:00,671.41,671.45,671.24,671.285,20444.0,2
2025-11-14 20:59:00+00:00,671.28,671.935,671.19,671.935,49608.0,2
2025-11-14 21:21:00+00:00,672.91,672.95,672.87,672.95,5250.0,2
2025-11-14 21:22:00+00:00,672.95,672.95,672.95,672.95,115.0,2
